key,en,es,da,nl,fr,de,zh,sv,ru,ja,ko
CATEGORY_DIALOG_NAME_PRESET_TOOLTIP,"The default name of a newly created dialog, only applies to this current category.


Keywords:

$ResponseTitle: Replaced with name of response that created the dialog.
$CategoryName: Replaced with name of the current category
$DialogNode : Replaced with the node index of the dialog
$DialogID : Replaced with ID of dialog
$Blank : Replaced with empty space.

e.g ""[Thomas] | $DialogNode"" would become ""[Thomas] | 1"" if the node index is 1.

Leave blank to use editor default","El nombre predeterminado de un cuadro de diálogo recién creado solo se aplica a esta categoría actual.


Palabras clave:

$ResponseTitle: reemplazado con el nombre de la respuesta que creó el diálogo.
$CategoryName: reemplazado con el nombre de la categoría actual
$DialogNode: Reemplazado con el índice de nodo del diálogo
$DialogID: Reemplazado con ID del diálogo
$En blanco: reemplazado por un espacio vacío.

por ejemplo, ""[Thomas] | $DialogNode"" se convertiría en ""[Thomas] | 1"" si el índice del nodo es 1.

Déjelo en blanco para usar el editor predeterminado","Standardnavnet på en nyoprettet dialog gælder kun for denne aktuelle kategori.


Nøgleord:

$ResponseTitle: Erstattet med navnet på det svar, der skabte dialogen.
$CategoryName: Erstattet med navnet på den aktuelle kategori
$DialogNode : Erstattet med dialogens nodeindeks
$DialogID : Erstattet med ID for dialog
$Blank : Erstattet med tom plads.

f.eks. ville ""[Thomas] | $DialogNode"" blive til ""[Thomas] | 1"", hvis nodeindekset er 1.

Lad stå tomt for at bruge editorens standard","De standaardnaam van een nieuw aangemaakt dialoogvenster is alleen van toepassing op deze huidige categorie.


Trefwoorden:

$ResponseTitle: Vervangen door de naam van het antwoord dat het dialoogvenster heeft gemaakt.
$CategoryName: Vervangen door de naam van de huidige categorie
$DialogNode: Vervangen door de knooppuntindex van het dialoogvenster
$DialogID: Vervangen door ID van dialoogvenster
$Blank: Vervangen door lege ruimte.

""[Thomas] | $DialogNode"" zou bijvoorbeeld ""[Thomas] | 1"" worden als de knooppuntindex 1 is.

Laat dit leeg om de standaardeditor te gebruiken","Le nom par défaut d'une boîte de dialogue nouvellement créée s'applique uniquement à cette catégorie actuelle.


Mots-clés :

$ResponseTitle : remplacé par le nom de la réponse qui a créé la boîte de dialogue.
$CategoryName : remplacé par le nom de la catégorie actuelle
$DialogNode : Remplacé par l'index du nœud de la boîte de dialogue
$DialogID : remplacé par l'ID de la boîte de dialogue
$Blank : Remplacé par un espace vide.

par exemple, ""[Thomas] | $DialogNode"" deviendrait ""[Thomas] | 1"" si l'index du nœud est 1.

Laisser vide pour utiliser la valeur par défaut de l'éditeur","Der Standardname eines neu erstellten Dialogs gilt nur für diese aktuelle Kategorie.


Schlüsselwörter:

$ResponseTitle: Ersetzt durch den Namen der Antwort, die den Dialog erstellt hat.
$CategoryName: Ersetzt durch den Namen der aktuellen Kategorie
$DialogNode: Wird durch den Knotenindex des Dialogs ersetzt
$DialogID: Ersetzt durch die ID des Dialogs
$Blank: Durch Leerzeichen ersetzt.

z.B. würde „[Thomas] | $DialogNode“ zu „[Thomas] | 1“ werden, wenn der Knotenindex 1 ist.

Lassen Sie das Feld leer, um die Editor-Standardeinstellung zu verwenden","新创建的对话框的默认名称仅适用于当前类别。


关键词：

$ResponseTitle：替换为创建对话框的响应名称。
$CategoryName：替换为当前类别的名称
$DialogNode ：替换为对话框的节点索引
$DialogID ：替换为对话框的 ID
$Blank ：替换为空白区域。

例如，如果节点索引为 1，“[Thomas] | $DialogNode”将变为“[Thomas] | 1”。

留空以使用编辑器默认值","Standardnamnet för en nyskapad dialogruta, gäller endast för denna aktuella kategori.


Nyckelord:

$ResponseTitle: Ersatt med namnet på svaret som skapade dialogrutan.
$CategoryName: Ersatt med namnet på den aktuella kategorin
$DialogNode : Ersätts med nodindex för dialogrutan
$DialogID : Ersatt med ID för dialogrutan
$Blank : Ersätts med tomt utrymme.

t.ex. ""[Thomas] | $DialogNode"" skulle bli ""[Thomas] | 1"" om nodindexet är 1.

Lämna tomt om du vill använda standardredigeraren","Имя по умолчанию для вновь созданного диалога применяется только к этой текущей категории.


Ключевые слова:

$ResponseTitle: заменено именем ответа, создавшего диалоговое окно.
$CategoryName: заменено названием текущей категории.
$DialogNode: заменен индексом узла диалога.
$DialogID: заменен идентификатором диалога.
$Blank : Заменяется пустым пространством.

например, «[Thomas] | $DialogNode» станет «[Thomas] | 1», если индекс узла равен 1.

Оставьте пустым, чтобы использовать редактор по умолчанию.","新しく作成されたダイアログのデフォルト名は、この現在のカテゴリにのみ適用されます。


キーワード:

$ResponseTitle: ダイアログを作成した応答の名前に置き換えられます。
$CategoryName: 現在のカテゴリの名前に置き換えられます
$DialogNode : ダイアログのノードインデックスに置き換えられます。
$DialogID : ダイアログのIDに置き換えられます
$Blank : 空のスペースに置き換えられます。

たとえば、ノード インデックスが 1 の場合、「[Thomas] | $DialogNode」は「[Thomas] | 1」になります。

エディターのデフォルトを使用するには空白のままにします","새로 생성된 대화 상자의 기본 이름은 현재 카테고리에만 적용됩니다.


키워드:

$ResponseTitle: 대화를 생성한 응답 이름으로 대체됩니다.
$CategoryName: 현재 카테고리의 이름으로 대체됨
$DialogNode : 대화 상자의 노드 인덱스로 대체됨
$DialogID : 대화상자의 ID로 대체됨
$Blank : 빈 공간으로 대체됩니다.

예를 들어 노드 인덱스가 1이면 ""[Thomas] | $DialogNode""는 ""[Thomas] | 1""이 됩니다.

편집기 기본값을 사용하려면 비워 두세요."
DEFAULT_DIALOG_NAME,Default Dialog Name,Nombre de diálogo predeterminado,Standarddialognavn,Standaarddialoognaam,Nom de la boîte de dialogue par défaut,Standarddialogname,默认对话框名称,Standarddialognamn,Имя диалога по умолчанию,デフォルトのダイアログ名,기본 대화 상자 이름
DIALOG_NAME_PRESET_TOOLTIP,"The default name of a newly created dialog.


Keywords:

$ResponseTitle: Replaced with name of response that created the dialog.
$CategoryName: Replaced with name of the current category
$DialogNode : Replaced with the node index of the dialog
$DialogID : Replaced with ID of dialog
$Blank : Replaced with empty space.

e.g ""[Thomas] | $DialogNode"" would become ""[Thomas] | 1"" if the node index is 1.","El nombre predeterminado de un cuadro de diálogo recién creado.


Palabras clave:

$ResponseTitle: reemplazado con el nombre de la respuesta que creó el diálogo.
$CategoryName: reemplazado con el nombre de la categoría actual
$DialogNode: Reemplazado con el índice de nodo del diálogo
$DialogID: Reemplazado con ID del diálogo
$En blanco: reemplazado por un espacio vacío.

por ejemplo, ""[Thomas] | $DialogNode"" se convertiría en ""[Thomas] | 1"" si el índice del nodo es 1.","Standardnavnet på en nyoprettet dialogboks.


Nøgleord:

$ResponseTitle: Erstattet med navnet på det svar, der skabte dialogen.
$CategoryName: Erstattet med navnet på den aktuelle kategori
$DialogNode : Erstattet med dialogens nodeindeks
$DialogID : Erstattet med ID for dialog
$Blank : Erstattet med tom plads.

f.eks. ville ""[Thomas] | $DialogNode"" blive til ""[Thomas] | 1"", hvis nodeindekset er 1.","De standaardnaam van een nieuw gemaakt dialoogvenster.


Trefwoorden:

$ResponseTitle: Vervangen door de naam van het antwoord dat het dialoogvenster heeft gemaakt.
$CategoryName: Vervangen door de naam van de huidige categorie
$DialogNode: Vervangen door de knooppuntindex van het dialoogvenster
$DialogID: Vervangen door ID van dialoogvenster
$Blank: Vervangen door lege ruimte.

""[Thomas] | $DialogNode"" zou bijvoorbeeld ""[Thomas] | 1"" worden als de knooppuntindex 1 is.","Le nom par défaut d'une boîte de dialogue nouvellement créée.


Mots-clés :

$ResponseTitle : remplacé par le nom de la réponse qui a créé la boîte de dialogue.
$CategoryName : remplacé par le nom de la catégorie actuelle
$DialogNode : Remplacé par l'index du nœud de la boîte de dialogue
$DialogID : remplacé par l'ID de la boîte de dialogue
$Blank : Remplacé par un espace vide.

par exemple, ""[Thomas] | $DialogNode"" deviendrait ""[Thomas] | 1"" si l'index du nœud est 1.","Der Standardname eines neu erstellten Dialogs.


Schlüsselwörter:

$ResponseTitle: Ersetzt durch den Namen der Antwort, die den Dialog erstellt hat.
$CategoryName: Ersetzt durch den Namen der aktuellen Kategorie
$DialogNode: Wird durch den Knotenindex des Dialogs ersetzt
$DialogID: Ersetzt durch die ID des Dialogs
$Blank: Durch Leerzeichen ersetzt.

z.B. würde „[Thomas] | $DialogNode“ zu „[Thomas] | 1“ werden, wenn der Knotenindex 1 ist.","新创建的对话框的默认名称。


关键词：

$ResponseTitle：替换为创建对话框的响应名称。
$CategoryName：替换为当前类别的名称
$DialogNode ：替换为对话框的节点索引
$DialogID ：替换为对话框的 ID
$Blank ：替换为空白区域。

例如，如果节点索引为 1，“[Thomas] | $DialogNode”将变为“[Thomas] | 1”。","Standardnamnet på en nyskapad dialogruta.


Nyckelord:

$ResponseTitle: Ersatt med namnet på svaret som skapade dialogrutan.
$CategoryName: Ersatt med namnet på den aktuella kategorin
$DialogNode : Ersätts med nodindex för dialogrutan
$DialogID : Ersatt med ID för dialogrutan
$Blank : Ersätts med tomt utrymme.

t.ex. ""[Thomas] | $DialogNode"" skulle bli ""[Thomas] | 1"" om nodindexet är 1.","Имя по умолчанию для вновь созданного диалога.


Ключевые слова:

$ResponseTitle: заменено именем ответа, создавшего диалоговое окно.
$CategoryName: заменено названием текущей категории.
$DialogNode: заменен индексом узла диалога.
$DialogID: заменен идентификатором диалога.
$Blank : Заменяется пустым пространством.

например, «[Thomas] | $DialogNode» станет «[Thomas] | 1», если индекс узла равен 1.","新しく作成されたダイアログのデフォルト名。


キーワード:

$ResponseTitle: ダイアログを作成した応答の名前に置き換えられます。
$CategoryName: 現在のカテゴリの名前に置き換えられます
$DialogNode : ダイアログのノードインデックスに置き換えられます。
$DialogID : ダイアログのIDに置き換えられます
$Blank : 空のスペースに置き換えられます。

たとえば、ノード インデックスが 1 の場合、「[Thomas] | $DialogNode」は「[Thomas] | 1」になります。","새로 생성된 대화 상자의 기본 이름입니다.


키워드:

$ResponseTitle: 대화를 생성한 응답 이름으로 대체됩니다.
$CategoryName: 현재 카테고리의 이름으로 대체됨
$DialogNode : 대화 상자의 노드 인덱스로 대체됨
$DialogID : 대화상자의 ID로 대체됨
$Blank : 빈 공간으로 대체됩니다.

예를 들어 노드 인덱스가 1이면 ""[Thomas] | $DialogNode""는 ""[Thomas] | 1""이 됩니다."
focus_above,Focus Above,Enfoque arriba,Fokus ovenfor,Focus hierboven,Concentrez-vous ci-dessus,Fokus oben,焦点上方,Fokusera ovan,Фокус выше,上に焦点を当てる,위에 초점
focus_below,Focus Below,Enfoque a continuación,Fokus nedenfor,Focus hieronder,Focus ci-dessous,Fokus unten,焦点下方,Fokusera nedan,Фокус ниже,以下に焦点を当てる,아래에 집중하세요
focus_left,Focus Left,Enfoque a la izquierda,Fokus til venstre,Focus links,Concentrez-vous à gauche,Fokus nach links,焦点向左,Fokus Vänster,Фокус влево,左にフォーカス,왼쪽 초점
focus_right,Focus Right,Enfoque a la derecha,Fokuser højre,Focus rechts,Concentrez-vous à droite,Konzentrieren Sie sich richtig,向右对焦,Fokusera rätt,Фокус вправо,右にフォーカス,초점 오른쪽
zoom_key,Zoom Key (Hold while Scrolling),Tecla de zoom (mantener presionada mientras se desplaza),"Zoomtast (Hold nede, mens du ruller)",Zoomtoets (ingedrukt houden tijdens scrollen),Touche Zoom (maintenir pendant le défilement),Zoom-Taste (beim Scrollen gedrückt halten),缩放键（滚动时按住）,Zoomknapp (håll ned medan du rullar),Клавиша масштабирования (удерживайте при прокрутке),ズームキー (押したままスクロール),확대/축소 키(스크롤하는 동안 누르고 있음)
drag_responses_key,Drag Responses,Arrastrar respuestas,Træk svar,Sleep reacties,Faites glisser les réponses,Antworten ziehen,拖动响应,Dra svar,Перетащите ответы,ドラッグ応答,드래그 응답
delete_nodes,Delete Selected Nodes,Eliminar nodos seleccionados,Slet valgte noder,Verwijder geselecteerde knooppunten,Supprimer les nœuds sélectionnés,Ausgewählte Knoten löschen,删除选定的节点,Ta bort valda noder,Удалить выбранные узлы,選択したノードを削除,선택한 노드 삭제
add_dialog_at_mouse,Add Dialog At Mouse,Agregar cuadro de diálogo con el mouse,Tilføj dialog ved mus,Dialoogvenster toevoegen bij muis,Ajouter une boîte de dialogue à la souris,Dialog mit der Maus hinzufügen,添加鼠标对话框,Lägg till dialog vid mus,Добавить диалог при помощи мыши,マウスにダイアログを追加,마우스에 대화상자 추가
create_response,Create Response,Crear respuesta,Opret svar,Reactie creëren,Créer une réponse,Antwort erstellen,创建响应,Skapa svar,Создать ответ,応答の作成,응답 생성
zoom_in,Zoom In,Dar un golpe de zoom,Zoom ind,Inzoomen,Zoomer,Vergrößern,放大,Zooma in,Увеличить масштаб,ズームイン,확대
zoom_out,Zoom Out,Alejar,Zoom ud,Uitzoomen,Zoom arrière,Herauszoomen,缩小,Zooma ut,Уменьшить масштаб,ズームアウト,축소
selected_multiple,Select Multiple,Seleccionar Múltiple,Vælg Flere,Selecteer Meerdere,Sélectionnez plusieurs,Wählen Sie „Mehrere“.,选择多个,Välj Flera,Выберите несколько,複数選択,여러 개 선택
save,Save,Ahorrar,Spare,Redden,Sauvegarder,Speichern,节省,Spara,Сохранять,保存,구하다
export,Export,Exportar,Eksportere,Exporteren,Exporter,Export,出口,Exportera,Экспорт,輸出,내보내다
scan_for_changes,Scan For Changes,Buscar cambios,Scan for ændringer,Scannen naar wijzigingen,Rechercher les modifications,Nach Änderungen suchen,扫描更改,Sök efter ändringar,Сканировать изменения,変更をスキャンする,변경 사항 검색
reimport_category,Reimport Category,Categoría de reimportación,Genimporter kategori,Categorie opnieuw importeren,Catégorie de réimportation,Kategorie erneut importieren,重新导入类别,Återimportera kategori,Категория реимпорта,逆輸入カテゴリー,카테고리 다시 가져오기
swap_responses,Swap Responses,Intercambiar respuestas,Skift svar,Wissel reacties uit,Échanger les réponses,Antworten austauschen,交换回应,Byt svar,Обмен ответами,応答を交換する,스왑 응답
CATEGORY_SETTINGS,Category Settings,Configuración de categoría,Kategoriindstillinger,Categorie-instellingen,Paramètres de catégorie,Kategorieeinstellungen,类别设置,Kategoriinställningar,Настройки категории,カテゴリ設定,카테고리 설정
SFTP_STATUS,SFTP Status:,Estado SFTP:,SFTP-status:,SFTP-status:,Statut SFTP :,SFTP-Status:,SFTP 状态：,SFTP-status:,Статус SFTP:,SFTP ステータス:,SFTP 상태:
SFTP_CONNECTED,Connected,Conectado,Forbundet,Aangesloten,Connecté,Verbunden,已连接,Ansluten,Подключено,接続済み,연결됨
SFTP_DISCONNECTED,Disconnected,Desconectado,Afbrudt,Verbinding verbroken,Déconnecté,Getrennt,已断开连接,Osammanhängande,Отключено,切断されました,연결이 끊김
CONNECT,Connect,Conectar,Forbinde,Verbinden,Connecter,Verbinden,连接,Ansluta,Соединять,接続する,연결하다
DISCONNECT,Disconnect,Desconectar,Afbryde,Verbreek de verbinding,Déconnecter,Trennen,断开,Koppla från,Отключить,切断する,연결 끊기
REMOTE_DIRECTORY,Remote Directory:,Directorio remoto:,Fjernmappe:,Externe map:,Répertoire distant :,Remote-Verzeichnis:,远程目录：,Fjärrkatalog:,Удаленный каталог:,リモートディレクトリ:,원격 디렉토리:
SFTP_SERVER,Server:,Servidor:,Server:,Server:,Serveur:,Server:,服务器：,Server:,Сервер:,サーバ：,섬기는 사람:
SYNC_LOCAL_CACHE,Sync Local Cache,Sincronizar caché local,Synkroniser lokal cache,Synchroniseer lokale cache,Synchroniser le cache local,Lokalen Cache synchronisieren,同步本地缓存,Synkronisera lokal cache,Синхронизировать локальный кэш,ローカルキャッシュを同期する,로컬 캐시 동기화
NOTHING_UNDO,Nothing To Undo,Nada que deshacer,Intet at fortryde,Niets om ongedaan te maken,Rien à annuler,Nichts rückgängig zu machen,没有什么可撤销的,Inget att ångra,Ничего не отменить,元に戻すことは何もありません,실행취소할 항목 없음
NOTHING_REDO,Nothing To Redo,Nada que rehacer,Intet at gøre om,Niets om opnieuw te doen,Rien à refaire,Nichts zu wiederholen,无需重做,Inget att göra om,Нечего переделывать,やり直すことは何もない,다시 할 일 없음
DOWNLOADING_FACTIONS,Downloading Factions,Descargando facciones,Download af fraktioner,Facties downloaden,Téléchargement de factions,Fraktionen herunterladen,下载派系,Ladda ner fraktioner,Загрузка фракций,ファクションをダウンロードしています,팩션 다운로드 중
DOWNLOADING_QUESTS,Downloading Quests,Descargando misiones,Downloader opgaver,Quests downloaden,Téléchargement de quêtes,Quests herunterladen,下载任务,Ladda ner uppdrag,Скачивание квестов,クエストをダウンロードする,퀘스트 다운로드 중
DOWNLOADING_DIALOGS,Downloading Dialogs,Descarga de cuadros de diálogo,Downloader dialoger,Dialogen downloaden,Téléchargement des boîtes de dialogue,Dialoge herunterladen,下载对话框,Ladda ner dialoger,Загрузка диалогов,ダイアログのダウンロード,대화상자 다운로드
CONNECT_TO_SFTP,Connect to SFTP Server,Conéctese al servidor SFTP,Opret forbindelse til SFTP-server,Maak verbinding met de SFTP-server,Connectez-vous au serveur SFTP,Stellen Sie eine Verbindung zum SFTP-Server her,连接到 SFTP 服务器,Anslut till SFTP-server,Подключиться к SFTP-серверу,SFTPサーバーに接続する,SFTP 서버에 연결
HOSTNAME,Hostname,Nombre de host,Værtsnavn,Hostnaam,Nom d'hôte,Hostname,主机名,Värdnamn,Имя хоста,ホスト名,호스트 이름
PORT,Port,Puerto,Havn,Haven,Port,Hafen,港口,Hamn,Порт,ポート,포트
USERNAME,Username,Nombre de usuario,Brugernavn,Gebruikersnaam,Nom d'utilisateur,Benutzername,用户名,Användarnamn,Имя пользователя,ユーザー名,사용자 이름
PASSWORD,Password,Contraseña,Adgangskode,Wachtwoord,Mot de passe,Passwort,密码,Lösenord,Пароль,パスワード,비밀번호
PRIVATE_KEY,Private Key,Clave privada,Privat nøgle,Privésleutel,Clé privée,Privater Schlüssel,私钥,Privat nyckel,Закрытый ключ,秘密鍵,개인 키
PASSPHRASE,Passphrase,frase de contraseña,Adgangssætning,Wachtwoordzin,Phrase secrète,Passphrase,密码,Lösenfras,Парольная фраза,パスフレーズ,암호
CONNECT_TO_AN_SFTP_SERVER,Connect to an SFTP Server,Conéctese a un servidor SFTP,Opret forbindelse til en SFTP-server,Maak verbinding met een SFTP-server,Connectez-vous à un serveur SFTP,Stellen Sie eine Verbindung zu einem SFTP-Server her,连接到 SFTP 服务器,Anslut till en SFTP-server,Подключитесь к SFTP-серверу,SFTPサーバーに接続する,SFTP 서버에 연결
LEAVE_BLANK_IF_NONE,(Leave Blank If None),(Deje en blanco si no hay ninguno),"(Lad være tom, hvis ingen)",(Laat leeg indien geen),(Laisser vide s'il n'y en a pas),"(Leer lassen, wenn keine)",（如果没有则留空）,(Lämna tomt om ingen),"(Оставьте пустым, если нет)",(ない場合は空白のままにしてください),(없으면 비워두세요)
USE_SELECTED_DIR,Use Selected Directory As Environment,Usar el directorio seleccionado como entorno,Brug den valgte mappe som miljø,Gebruik de geselecteerde map als omgeving,Utiliser le répertoire sélectionné comme environnement,Ausgewähltes Verzeichnis als Umgebung verwenden,使用选定的目录作为环境,Använd vald katalog som miljö,Использовать выбранный каталог в качестве среды,選択したディレクトリを環境として使用する,선택한 디렉토리를 환경으로 사용
CONNECTING_TO_SFTP_SERVER,Connecting to SFTP Server,Conexión al servidor SFTP,Opretter forbindelse til SFTP-server,Verbinding maken met SFTP-server,Connexion au serveur SFTP,Verbindung zum SFTP-Server herstellen,连接到 SFTP 服务器,Ansluter till SFTP-server,Подключение к SFTP-серверу,SFTPサーバーへの接続,SFTP 서버에 연결 중
SFTP_ERROR_CHANGE_DIR,An error occured trying to change the directory on the SFTP server,Se produjo un error al intentar cambiar el directorio en el servidor SFTP.,Der opstod en fejl under forsøget på at ændre mappen på SFTP-serveren,Er is een fout opgetreden bij het wijzigen van de map op de SFTP-server,Une erreur s'est produite en essayant de modifier le répertoire sur le serveur SFTP,"Beim Versuch, das Verzeichnis auf dem SFTP-Server zu ändern, ist ein Fehler aufgetreten",尝试更改 SFTP 服务器上的目录时发生错误,Ett fel uppstod vid försök att ändra katalogen på SFTP-servern,Произошла ошибка при попытке изменить каталог на SFTP-сервере.,SFTP サーバー上のディレクトリを変更しようとしてエラーが発生しました,SFTP 서버에서 디렉터리를 변경하는 동안 오류가 발생했습니다.
SFTP_ERROR_DOWNLOAD,An error occured trying to download a file from the SFTP server,Se produjo un error al intentar descargar un archivo desde el servidor SFTP.,Der opstod en fejl under forsøget på at downloade en fil fra SFTP-serveren,Er is een fout opgetreden bij het downloaden van een bestand van de SFTP-server,Une erreur s'est produite lors de la tentative de téléchargement d'un fichier depuis le serveur SFTP,"Beim Versuch, eine Datei vom SFTP-Server herunterzuladen, ist ein Fehler aufgetreten",尝试从 SFTP 服务器下载文件时发生错误,Ett fel uppstod vid försök att ladda ner en fil från SFTP-servern,Произошла ошибка при попытке загрузить файл с SFTP-сервера.,SFTP サーバーからファイルをダウンロードしようとしたときにエラーが発生しました,SFTP 서버에서 파일을 다운로드하는 중 오류가 발생했습니다.
SFTP_ERROR_DOWNLOAD_FILES,An error occured tryig to download files from the SFTP server,Se produjo un error al intentar descargar archivos desde el servidor SFTP.,Der opstod en fejl ved at prøve at downloade filer fra SFTP-serveren,Er is een fout opgetreden bij het downloaden van bestanden van de SFTP-server,Une erreur s'est produite en essayant de télécharger des fichiers depuis le serveur SFTP,"Beim Versuch, Dateien vom SFTP-Server herunterzuladen, ist ein Fehler aufgetreten",尝试从 SFTP 服务器下载文件时发生错误,Ett fel uppstod vid försök att ladda ner filer från SFTP-servern,Произошла ошибка при попытке загрузить файлы с SFTP-сервера.,SFTP サーバーからファイルをダウンロードしようとしたときにエラーが発生しました,SFTP 서버에서 파일을 다운로드하는 중 오류가 발생했습니다.
SFTP_ERROR_UPLOAD,An error occured trying to upload a file to the SFTP server,Se produjo un error al intentar cargar un archivo en el servidor SFTP.,Der opstod en fejl under forsøget på at uploade en fil til SFTP-serveren,Er is een fout opgetreden bij het uploaden van een bestand naar de SFTP-server,Une erreur s'est produite lors de la tentative de téléchargement d'un fichier sur le serveur SFTP,"Beim Versuch, eine Datei auf den SFTP-Server hochzuladen, ist ein Fehler aufgetreten",尝试将文件上传到 SFTP 服务器时发生错误,Ett fel uppstod vid försök att ladda upp en fil till SFTP-servern,Произошла ошибка при попытке загрузить файл на SFTP-сервер.,SFTP サーバーにファイルをアップロードしようとしたときにエラーが発生しました,SFTP 서버에 파일을 업로드하는 중 오류가 발생했습니다.
SFTP_ERROR_UPLOAD_DIRECTORY,An error occured trying to upload to an SFTP directory,Se produjo un error al intentar cargar en un directorio SFTP,Der opstod en fejl under forsøget på at uploade til en SFTP-mappe,Er is een fout opgetreden bij het uploaden naar een SFTP-directory,Une erreur s'est produite lors de la tentative de téléchargement vers un répertoire SFTP,Beim Hochladen in ein SFTP-Verzeichnis ist ein Fehler aufgetreten,尝试上传到 SFTP 目录时发生错误,Ett fel uppstod vid försök att ladda upp till en SFTP-katalog,Произошла ошибка при попытке загрузки в каталог SFTP.,SFTP ディレクトリにアップロードしようとしてエラーが発生しました,SFTP 디렉터리에 업로드하는 중 오류가 발생했습니다.
SFTP_ERROR_CATEGORY_CREATE,Category failed to be created on the SFTP server,No se pudo crear la categoría en el servidor SFTP,Kategori kunne ikke oprettes på SFTP-serveren,Categorie kan niet worden gemaakt op de SFTP-server,La catégorie n'a pas pu être créée sur le serveur SFTP,Die Kategorie konnte auf dem SFTP-Server nicht erstellt werden,SFTP服务器上创建类别失败,Det gick inte att skapa kategori på SFTP-servern,Не удалось создать категорию на SFTP-сервере.,SFTPサーバー上でカテゴリを作成できませんでした,SFTP 서버에서 카테고리를 생성하지 못했습니다.
SFTP_ERROR_CATEGORY_DELETE,Category failed to be deleted on SFTP server,No se pudo eliminar la categoría en el servidor SFTP,Kategori kunne ikke slettes på SFTP-server,Categorie kan niet worden verwijderd op de SFTP-server,La catégorie n'a pas pu être supprimée sur le serveur SFTP,Die Kategorie konnte auf dem SFTP-Server nicht gelöscht werden,SFTP 服务器上的类别删除失败,Det gick inte att ta bort kategorin på SFTP-servern,Не удалось удалить категорию на SFTP-сервере.,SFTPサーバーでカテゴリの削除に失敗しました,SFTP 서버에서 카테고리를 삭제하지 못했습니다.
SFTP_ERROR_CATEGORY_DUPLICATE,Categroy failed to be duplicated on SFTP server,Categroy no pudo duplicarse en el servidor SFTP,Categroy kunne ikke duplikeres på SFTP-serveren,Categroy kan niet worden gedupliceerd op de SFTP-server,Categroy n'a pas pu être dupliqué sur le serveur SFTP,Die Kategorie konnte nicht auf dem SFTP-Server dupliziert werden,SFTP 服务器上的类别复制失败,Categroy kunde inte dupliceras på SFTP-servern,Не удалось продублировать категорию на SFTP-сервере.,カテゴリグロイを SFTP サーバーで複製できませんでした,SFTP 서버에서 카테고리를 복제하지 못했습니다.
SFTP_ERROR_CAEGORY_EXPORT,Category failed to be exported to the SFTP server,La categoría no se pudo exportar al servidor SFTP,Kategori kunne ikke eksporteres til SFTP-serveren,Categorie kan niet naar de SFTP-server worden geëxporteerd,La catégorie n'a pas pu être exportée vers le serveur SFTP,Die Kategorie konnte nicht auf den SFTP-Server exportiert werden,类别导出到SFTP服务器失败,Det gick inte att exportera kategorin till SFTP-servern,Не удалось экспортировать категорию на SFTP-сервер.,カテゴリを SFTP サーバーにエクスポートできませんでした,카테고리를 SFTP 서버로 내보내지 못했습니다.
SFTP_ERROR_CATEGORY_SAVE,Category failed to be saved to the SFTP server,La categoría no se pudo guardar en el servidor SFTP,Kategori kunne ikke gemmes på SFTP-serveren,Categorie kan niet worden opgeslagen op de SFTP-server,La catégorie n'a pas pu être enregistrée sur le serveur SFTP,Die Kategorie konnte nicht auf dem SFTP-Server gespeichert werden,类别保存到SFTP服务器失败,Det gick inte att spara kategorin på SFTP-servern,Не удалось сохранить категорию на SFTP-сервере.,カテゴリを SFTP サーバーに保存できませんでした,카테고리를 SFTP 서버에 저장하지 못했습니다.
SFTP_ERROR_CATEGORY_RENAME,Category failed to be renamed on the SFTP server,No se pudo cambiar el nombre de la categoría en el servidor SFTP,Kategori kunne ikke omdøbes på SFTP-serveren,De naam van de categorie kan niet worden gewijzigd op de SFTP-server,La catégorie n'a pas pu être renommée sur le serveur SFTP,Die Kategorie konnte auf dem SFTP-Server nicht umbenannt werden,在SFTP服务器上重命名类别失败,Det gick inte att byta namn på kategorin på SFTP-servern,Не удалось переименовать категорию на SFTP-сервере.,SFTP サーバーでカテゴリの名前を変更できませんでした,SFTP 서버에서 카테고리 이름을 바꾸지 못했습니다.
SFTP_ERROR_NOT_CONNECTED,No Connection to SFTP server,Sin conexión al servidor SFTP,Ingen forbindelse til SFTP-server,Geen verbinding met SFTP-server,Aucune connexion au serveur SFTP,Keine Verbindung zum SFTP-Server,没有连接到 SFTP 服务器,Ingen anslutning till SFTP-server,Нет подключения к SFTP-серверу,SFTPサーバーに接続されていません,SFTP 서버에 연결되지 않음
SFTP_ERROR_FAILED_RECONNECT,Failed to reconnect to SFTP server (check logs),No se pudo volver a conectar al servidor SFTP (verificar registros),Kunne ikke genoprette forbindelse til SFTP-serveren (tjek logfiler),Kan geen verbinding maken met de SFTP-server (controleer de logboeken),Échec de la reconnexion au serveur SFTP (vérifier les journaux),Wiederherstellung der Verbindung zum SFTP-Server fehlgeschlagen (Protokolle prüfen),无法重新连接到 SFTP 服务器（检查日志）,Det gick inte att återansluta till SFTP-servern (kontrollera loggar),Не удалось повторно подключиться к SFTP-серверу (проверьте журналы).,SFTP サーバーへの再接続に失敗しました (ログを確認してください),SFTP 서버에 다시 연결하지 못했습니다(로그 확인).
